state,district,months,total_sum,mean,std,median_mom_abs_pct,max_total,cov,stability_score
Uttar Pradesh,Sonbhadra,12,2062,171.83333333333334,35.695259001042636,0.0847457627118644,225,0.20773186615543726,0.1708360351223654
Uttar Pradesh,Mau,12,2632,219.33333333333334,56.17073539799453,0.128,330,0.25609757780240666,0.21766830446168464
Bihar,Kishanganj,12,2544,212.0,54.28879007007549,0.13135593220338984,315,0.2560791984437523,0.21866221857164359
Rajasthan,Dausa,12,2173,181.08333333333334,47.72927124242872,0.1518987341772152,243,0.26357627929551064,0.23007301576002198
Uttar Pradesh,Mirzapur,12,3154,262.8333333333333,67.15360050366668,0.20615384615384616,392,0.2554987970970197,0.24069531181406761
West Bengal,Hooghly,12,5564,463.6666666666667,123.18229900386983,0.24579831932773108,673,0.26566994752811607,0.25970845906800055
West Bengal,Bankura,12,4289,357.4166666666667,97.77009984776748,0.23208191126279865,548,0.27354656054399856,0.26110716575963855
West Bengal,North 24 Parganas,12,10773,897.75,286.2141998256169,0.1402831402831403,1554,0.31881280960803887,0.26525390881056926
Uttar Pradesh,Ghazipur,12,4366,363.8333333333333,100.22232860752715,0.24556962025316456,539,0.27546219498175123,0.26649442256317524
Tamil Nadu,Tiruvallur,12,3712,309.3333333333333,88.87307940216903,0.22900763358778625,500,0.28730521358459815,0.26981593958555455
West Bengal,Dakshin Dinajpur,12,2574,214.5,57.54602900761663,0.273542600896861,349,0.26827985551336425,0.26985867912841327
Uttar Pradesh,Faizabad,12,2490,207.5,55.41168239148263,0.2846715328467153,295,0.26704425248907293,0.27233243659636563
Uttar Pradesh,Sant Kabir Nagar,12,2000,166.66666666666666,44.260249626156615,0.31627906976744186,235,0.2655614977569397,0.28077676936009033
Andhra Pradesh,Kurnool,12,3656,304.6666666666667,88.49790273152685,0.26369168356997974,493,0.29047451662426754,0.2824396667079812
West Bengal,Howrah,12,4583,381.9166666666667,116.76274182626868,0.23225806451612904,613,0.3057283224776836,0.2836872450892172
Rajasthan,Jhunjhunun,12,2775,231.25,67.98947111000483,0.2640449438202247,316,0.2940085237189398,0.28501944974932525
Odisha,Baleswar,12,2150,179.16666666666666,62.27334660165373,0.14354066985645933,284,0.3475721670789976,0.28636271791223605
Madhya Pradesh,Tikamgarh,12,2299,191.58333333333334,69.62295641960387,0.10887096774193548,289,0.3634082109766187,0.28704703800621373
Tamil Nadu,Tiruvannamalai,12,2453,204.41666666666666,64.66762339186059,0.2277992277992278,318,0.31635201007025154,0.2897861753889444
Uttar Pradesh,Farrukhabad,12,2112,176.0,52.76362383309167,0.26865671641791045,284,0.2997933172334754,0.2904523369888059
Maharashtra,Kolhapur,12,2216,184.66666666666666,61.49402533185766,0.1937984496124031,276,0.33300013717612453,0.2912396309070081
Bihar,Madhepura,12,2753,229.41666666666666,66.05845666506066,0.315,357,0.28794096621167015,0.29605867634816907
Karnataka,Belgaum,12,2222,185.16666666666666,56.86480511358551,0.2706766917293233,262,0.3071006576791297,0.29617346789418775
Tamil Nadu,Coimbatore,12,2843,236.91666666666666,70.20807818495135,0.3033175355450237,338,0.2963408154130905,0.29843383145267044
West Bengal,Puruliya,12,5053,421.0833333333333,124.56722050460314,0.3054662379421222,579,0.2958255780833639,0.29871777604099137
Odisha,Mayurbhanj,12,3230,269.1666666666667,101.52011294976644,0.12087912087912088,395,0.37716450631492177,0.30027889068418145
Uttar Pradesh,Ballia,12,3389,282.4166666666667,79.79343597215517,0.3552036199095023,442,0.2825379851477905,0.30433767557630403
Bihar,Khagaria,12,2433,202.75,64.05838955770956,0.2824074074074074,292,0.31594766736231594,0.30588558937584337
West Bengal,Barddhaman,12,5965,497.0833333333333,156.63707812144685,0.29559748427672955,795,0.31511231139268436,0.3092578632578979
West Bengal,Murshidabad,12,13316,1109.6666666666667,335.4382027718189,0.33186675047140163,1641,0.3022873560575118,0.31116117438167873
Tamil Nadu,Kancheepuram,12,4349,362.4166666666667,127.85180222950841,0.22044728434504793,603,0.3527757247077721,0.31307719259895483
Uttar Pradesh,Bara Banki,12,3400,283.3333333333333,98.02349749221389,0.24124513618677043,474,0.3459652852666373,0.3145492405426772
Uttar Pradesh,Allahabad,12,4780,398.3333333333333,115.25492167233887,0.3765586034912718,608,0.2893428995958298,0.3155076107644624
Tamil Nadu,Cuddalore,12,3048,254.0,96.85790904956882,0.16568047337278108,404,0.3813303505888536,0.31663538742403186
Tamil Nadu,Tirunelveli,12,2970,247.5,95.39153764640474,0.15789473684210525,456,0.38542035412688785,0.31716266894145306
Rajasthan,Kota,12,2386,198.83333333333334,65.00885720539559,0.2964824120603015,315,0.3269515031285612,0.31781077580808326
Andhra Pradesh,Prakasam,12,2775,231.25,88.13226114508498,0.18509615384615385,416,0.3811124806273945,0.32230758259302233
Uttar Pradesh,Rae Bareli,12,2917,243.08333333333334,77.58568088757022,0.33238636363636365,352,0.3191731815738233,0.3231371361925854
Bihar,Vaishali,12,5916,493.0,183.4869329011048,0.21020408163265306,862,0.3721844480752633,0.32359033814248017
Tamil Nadu,Thanjavur,12,2288,190.66666666666666,70.50639343457809,0.2208955223880597,335,0.36978877675478017,0.325120800444764
Telangana,Mahabubnagar,12,3829,319.0833333333333,108.4807970718013,0.2916666666666667,460,0.33997638152562437,0.32548346706793707
Tamil Nadu,Tiruppur,12,1971,164.25,59.66744963088791,0.23770491803278687,289,0.36327214387146367,0.32560197611986064
Telangana,Karimnagar,12,2111,175.91666666666666,57.11465077660313,0.34146341463414637,288,0.3246687869821116,0.329707175277722
Uttar Pradesh,Amethi,12,2502,208.5,67.28973986358612,0.3484848484848485,305,0.322732565292979,0.3304582502505399
Madhya Pradesh,Ujjain,12,5120,426.6666666666667,152.0049839693263,0.27751196172248804,675,0.3562616811781085,0.3326367653414224
Uttar Pradesh,Basti,12,3508,292.3333333333333,93.84255027664285,0.36507936507936506,457,0.32101214461793454,0.33423231075636367
Tamil Nadu,Dindigul,12,2103,175.25,56.254494769913116,0.3660130718954248,282,0.3209956905558523,0.33450090495772405
Telangana,Nizamabad,12,2376,198.0,65.55081304537032,0.3440366972477064,294,0.3310647123503552,0.33495630781956054
