state,district,forecast_month,forecast,pi_low,pi_high,last_month,last_value
100000,100000,2026-01-01,1.8125,0.699294804875753,2.925705195124247,2025-12-01,2
Andaman & Nicobar Islands,Andamans,2026-01-01,2.0625,0.0,4.874707990706094,2025-12-01,1
Andaman & Nicobar Islands,Nicobars,2025-04-01,1.0,1.0,1.0,2025-03-01,1
Andaman & Nicobar Islands,South Andaman,2026-01-01,1.640625,0.0,3.735617319917383,2025-12-01,1
Andaman and Nicobar Islands,Nicobar,2026-01-01,2.70703125,0.0,6.942696619400433,2025-12-01,2
Andaman and Nicobar Islands,North And Middle Andaman,2026-01-01,4.21484375,0.4770364918524108,7.952651008147589,2025-12-01,3
Andaman and Nicobar Islands,South Andaman,2026-01-01,4.068359375,0.0,8.228324222749453,2025-12-01,3
Andhra Pradesh,Adilabad,2026-01-01,43.9853515625,25.85160749366053,62.11909563133947,2025-12-01,42
Andhra Pradesh,Alluri Sitharama Raju,2026-01-01,35.17919921875,27.247163548256296,43.111234889243704,2025-12-01,37
Andhra Pradesh,Anakapalli,2026-01-01,10.63330078125,3.474197581115887,17.792403981384112,2025-12-01,8
Andhra Pradesh,Anantapur,2026-01-01,114.2666015625,86.40354799092968,142.12965513407033,2025-12-01,115
Andhra Pradesh,Ananthapur,2026-01-01,48.1435546875,31.602497626988814,64.68461174801118,2025-12-01,54
Andhra Pradesh,Ananthapuramu,2026-01-01,72.74755859375,54.419435111204045,91.07568207629595,2025-12-01,77
Andhra Pradesh,Annamayya,2026-01-01,27.75927734375,15.93505222436417,39.58350246313583,2025-12-01,30
Andhra Pradesh,Bapatla,2026-01-01,10.47119140625,1.58218711115987,19.360195701340132,2025-12-01,7
Andhra Pradesh,Chittoor,2026-01-01,214.90478515625,142.69577176533107,287.1137985471689,2025-12-01,200
Andhra Pradesh,Cuddapah,2026-01-01,134.61962890625,76.13348801162962,193.10576980087038,2025-12-01,116
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-01-01,18.9521484375,10.35552216939407,27.54877470560593,2025-12-01,20
Andhra Pradesh,East Godavari,2026-01-01,195.560546875,120.35827357315928,270.7628201768407,2025-12-01,181
Andhra Pradesh,Eluru,2026-01-01,18.81640625,0.0,37.666460613929644,2025-12-01,12
