state,district,pincode,forecast_month,forecast,pi_low,pi_high,last_month,last_value
100000,100000,100000,2026-01-01,1.8125,0.699294804875753,2.925705195124247,2025-12-01,2
Andaman & Nicobar Islands,Andamans,744101,2025-05-01,1.0,1.0,1.0,2025-04-01,1
Andaman & Nicobar Islands,Andamans,744103,2025-12-01,2.25,0.19433465758650303,4.305665342413497,2025-11-01,3
Andaman & Nicobar Islands,Andamans,744105,2025-05-01,1.0,1.0,1.0,2025-04-01,1
Andaman & Nicobar Islands,Andamans,744107,2026-01-01,1.125,0.3248333506908285,1.9251666493091715,2025-12-01,1
Andaman & Nicobar Islands,Andamans,744207,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Andaman & Nicobar Islands,Nicobars,744301,2025-04-01,1.0,1.0,1.0,2025-03-01,1
Andaman & Nicobar Islands,South Andaman,744103,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andaman & Nicobar Islands,South Andaman,744105,2025-12-01,1.5,0.11407070887436688,2.885929291125633,2025-11-01,2
Andaman & Nicobar Islands,South Andaman,744107,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andaman & Nicobar Islands,South Andaman,744206,2025-06-01,1.5,0.2603871572139953,2.7396128427860047,2025-05-01,2
Andaman & Nicobar Islands,South Andaman,744207,2025-02-01,1.0,1.0,1.0,2025-01-01,1
Andaman and Nicobar Islands,Nicobar,744301,2026-01-01,2.57421875,0.0,6.023625738087474,2025-12-01,2
Andaman and Nicobar Islands,Nicobar,744303,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andaman and Nicobar Islands,Nicobar,744304,2025-02-01,1.0,1.0,1.0,2025-01-01,1
Andaman and Nicobar Islands,North And Middle Andaman,744201,2025-10-01,1.0,1.0,1.0,2025-09-01,1
Andaman and Nicobar Islands,North And Middle Andaman,744202,2026-01-01,1.8974609375,0.0,4.115481799090456,2025-12-01,2
Andaman and Nicobar Islands,North And Middle Andaman,744203,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andaman and Nicobar Islands,North And Middle Andaman,744204,2026-01-01,1.25,0.0,2.8379753275871895,2025-12-01,1
Andaman and Nicobar Islands,North And Middle Andaman,744205,2025-12-01,1.875,1.0810123362064052,2.6689876637935948,2025-11-01,2
Andaman and Nicobar Islands,North And Middle Andaman,744209,2025-12-01,1.5,0.11407070887436688,2.885929291125633,2025-11-01,1
Andaman and Nicobar Islands,North And Middle Andaman,744210,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andaman and Nicobar Islands,South Andaman,744101,2025-12-01,2.6875,1.287417890970869,4.087582109029131,2025-11-01,3
