state,district,months,mean,std,cov,max_total,peak_factor,spike_months,spike_freq,severity_metric,cov_norm,spike_norm,peak_norm,severity_norm,instability_score,reason_code,dominant_component
Gujarat,Ahmadabad,12,503.5,1646.9016364069832,3.2709069243435613,5733,11.386295928500497,2,0.16666666666666666,2048.218826046984,1.0,1.0,1.0,1.0,100.0,MIXED,mixed
Gujarat,Botad,12,181.41666666666666,511.6169480335376,2.8201209813516086,1805,9.949471750114837,2,0.16666666666666666,1169.1409361494098,1.0,1.0,1.0,1.0,100.0,MIXED,mixed
Madhya Pradesh,Barwani,12,1375.6666666666667,3875.243179075307,2.816992860970662,13677,9.94208868427429,2,0.16666666666666666,1094.2970391562653,1.0,1.0,1.0,1.0,100.0,MIXED,mixed
Gujarat,Gir Somnath,12,342.0833333333333,951.2091308466612,2.780635705276476,3361,9.825091352009744,2,0.16666666666666666,593.2322636034676,1.0,1.0,1.0,1.0,100.0,MIXED,mixed
Bihar,Sitamarhi,12,2589.4166666666665,7423.520709184893,2.8668699034601977,26151,10.09918578830496,2,0.16666666666666666,757.2784264305454,1.0,1.0,1.0,1.0,100.0,MIXED,mixed
Maharashtra,Hingoli,12,490.1666666666667,1373.7867264233444,2.8026930834886317,4851,9.896633798027882,2,0.16666666666666666,1135.318270589083,1.0,1.0,1.0,1.0,100.0,MIXED,mixed
Madhya Pradesh,Morena,12,1214.75,3151.257414978114,2.594161280080769,11215,9.232352335871578,2,0.16666666666666666,1554.9710672584963,0.9449968185694572,1.0,0.949405444378865,1.0,97.33801344466102,MIXED,mixed
Assam,Kamrup,12,784.8333333333334,2029.0152933396191,2.5852817498487393,7225,9.205776173285198,2,0.16666666666666666,873.5231167257418,0.9413440090669888,1.0,0.9461727184900985,1.0,97.16377464181164,MIXED,mixed
Chhattisgarh,Sukma,12,105.83333333333333,286.1385021702644,2.703670886648168,1014,9.581102362204724,2,0.16666666666666666,398.9384488607987,0.9900462435985026,1.0,0.9918274168954275,0.8245580846225297,95.15188776142686,MIXED,mixed
Uttar Pradesh,Varanasi,12,1218.75,2974.630676082479,2.440722606016393,10658,8.745025641025642,2,0.16666666666666666,734.6370948085801,0.8818761092500884,1.0,0.8901269982301808,1.0,94.25882324210626,MIXED,mixed
Madhya Pradesh,Sheopur,12,350.8333333333333,850.9989673461669,2.4256502632194783,3050,8.693586698337292,2,0.16666666666666666,647.0197026890809,0.8756757365327982,1.0,0.883869962392937,1.0,93.94767134384267,MIXED,mixed
Madhya Pradesh,Alirajpur,12,344.4166666666667,829.3431637948995,2.407964666232469,2973,8.631986450520202,2,0.16666666666666666,653.8588874214354,0.8684003385057781,1.0,0.8763769048371112,1.0,93.57954825191557,MIXED,mixed
Madhya Pradesh,Khargone,12,782.75,1912.851328395768,2.4437576855902496,6850,8.751197700415203,2,0.16666666666666666,469.47405679044766,0.8831246626328045,1.0,0.8908777678761289,0.9703467543740658,93.56996409585835,MIXED,mixed
Nagaland,Mon,12,127.0,341.8215908920909,2.6915085897015034,1212,9.543307086614174,2,0.16666666666666666,370.3934031616121,0.985042988617922,1.0,0.9872299974795316,0.765558887442123,93.43486179418137,MIXED,mixed
Mizoram,Champhai,12,69.16666666666667,193.82880606505847,2.8023441840731342,684,9.889156626506024,2,0.16666666666666666,328.86916670849246,1.0,1.0,1.0,0.6797332545080951,91.99333136270238,MIXED,mixed
Bihar,Bhagalpur,12,1059.6666666666667,2452.8061233590965,2.3146959327075463,8838,8.340358603334382,3,0.25,647.1507803269792,0.8300319893701338,1.0,0.8409032773553937,1.0,91.71902522821189,MIXED,mixed
Assam,Kokrajhar,12,227.91666666666666,564.5327043160779,2.476925942154638,2019,8.858500914076783,2,0.16666666666666666,418.30950725800335,0.8967692271078117,1.0,0.9039301367282594,0.8645957467098045,91.59657321554465,MIXED,mixed
Haryana,Panipat,12,298.3333333333333,687.5869972504416,2.304760884638352,2479,8.309497206703911,3,0.25,1042.4633582262877,0.8259449670788276,1.0,0.8371492953601927,1.0,91.52133491956869,MIXED,mixed
Uttar Pradesh,Banda,12,553.5,1273.7546145870556,2.3012730164174444,4594,8.299909665763325,2,0.16666666666666666,465.9889132423418,0.8245101481359592,1.0,0.835983066349232,0.9631433792748073,90.53355025293361,MIXED,mixed
