state,district,pincode,months,mean,std,cov,max_total,peak_factor,spike_months,spike_freq,severity_metric,cov_norm,spike_norm,peak_norm,severity_norm,instability_score
Madhya Pradesh,Sehore,466331,12,96.66666666666667,279.2966273706256,2.8892754555581956,983,10.168965517241379,2,0.16666666666666666,1000.9784452970353,1.0,1.0,1.0,1.0,100.0
Gujarat,Chhotaudepur,391152,9,17.444444444444443,47.46343621966048,2.720833923420028,144,8.254777070063694,1,0.1111111111111111,227.88125919712792,1.0,1.0,1.0,1.0,100.0
West Bengal,Uttar Dinajpur,733129,12,90.91666666666667,260.253533146337,2.862550318749811,917,10.086159486709441,2,0.16666666666666666,705.0817007056938,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Pilibhit,262001,12,350.0,1019.3025244566192,2.9122929270189117,3586,10.245714285714286,2,0.16666666666666666,1022.3915611891167,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Siddharthnagar,272153,12,177.83333333333334,443.75849970519556,2.4953617602916336,1586,8.91846298031865,2,0.16666666666666666,304.2989905761274,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Sitapur,261204,12,127.16666666666667,366.28474599894975,2.880351868930142,1290,10.144167758846658,2,0.16666666666666666,616.7704404123604,1.0,1.0,1.0,1.0,100.0
Bihar,Gaya,824232,12,143.83333333333334,404.8884994287896,2.8149837735489425,1429,9.935110081112398,2,0.16666666666666666,348.9911909691359,1.0,1.0,1.0,1.0,100.0
Bihar,Madhubani,847227,12,45.666666666666664,108.73766039362252,2.3811166509552377,390,8.54014598540146,3,0.25,152.43765176120448,1.0,1.0,1.0,1.0,100.0
Bihar,Madhubani,847108,12,223.75,635.7782811069223,2.8414671781314964,2237,9.997765363128492,2,0.16666666666666666,147.19827452864902,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Mathura,281121,12,44.916666666666664,122.58463371990155,2.7291569659347283,434,9.662337662337663,2,0.16666666666666666,762.3673790611389,1.0,1.0,1.0,1.0,100.0
Gujarat,Devbhumi Dwarka,361305,12,66.58333333333333,200.19420495351432,3.006671413569677,702,10.543178973717147,2,0.16666666666666666,751.0450268572887,1.0,1.0,1.0,1.0,100.0
Nagaland,Kohima,797001,12,60.5,179.70860251580007,2.9703901242281003,631,10.429752066115702,2,0.16666666666666666,292.66058571777893,1.0,1.0,1.0,1.0,100.0
Gujarat,Dahod,389382,12,29.25,75.9582720374094,2.596864001278954,270,9.23076923076923,2,0.16666666666666666,224.67613250045406,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Sitapur,261001,12,154.5,388.9740584946741,2.51763144656747,1389,8.990291262135923,2,0.16666666666666666,1212.4735267438418,1.0,1.0,1.0,1.0,100.0
Uttar Pradesh,Maharajganj,273162,12,103.75,282.17374563781215,2.719746945906623,999,9.628915662650602,2,0.16666666666666666,208.3783446255061,1.0,1.0,1.0,1.0,100.0
