month,state,district,age_0_5,age_5_17,age_18_greater,total,prev,abs_change,pct_change,z_change,severity,is_spike
2025-02-01,100000,100000,0,0,3,3,,,,0.0,0.013862943611198908,False
2025-03-01,100000,100000,0,0,1,1,3.0,-2.0,-0.6666666666666666,0.0,0.053141283842929134,False
2025-08-01,100000,100000,0,0,1,1,1.0,0.0,0.0,0.0,0.006931471805599454,False
2025-09-01,100000,100000,0,0,1,1,1.0,0.0,0.0,0.0,0.006931471805599454,False
2025-11-01,100000,100000,0,0,2,2,1.0,1.0,1.0,0.0,0.1208473517534921,False
2025-12-01,100000,100000,0,0,2,2,2.0,0.0,0.0,0.0,0.0109861228866811,False
2025-01-01,Andaman & Nicobar Islands,Andamans,2,1,0,3,,,,,0.013862943611198908,False
2025-02-01,Andaman & Nicobar Islands,Andamans,1,0,0,1,3.0,-2.0,-0.6666666666666666,0.6744907594765952,0.41157433283071504,False
2025-04-01,Andaman & Nicobar Islands,Andamans,3,0,0,3,1.0,2.0,2.0,2.023472278429786,6.181891055721398,False
2025-09-01,Andaman & Nicobar Islands,Andamans,3,1,0,4,3.0,1.0,0.3333333333333333,1.3489815189531904,1.0105531761084996,False
2025-11-01,Andaman & Nicobar Islands,Andamans,3,0,0,3,4.0,-1.0,-0.25,0.0,0.04852030263919616,False
2025-12-01,Andaman & Nicobar Islands,Andamans,1,0,0,1,3.0,-2.0,-0.6666666666666666,0.6744907594765952,0.41157433283071504,False
2025-03-01,Andaman & Nicobar Islands,Nicobars,1,0,0,1,,,,0.0,0.006931471805599454,False
2025-01-01,Andaman & Nicobar Islands,South Andaman,3,0,0,3,,,,,0.013862943611198908,False
2025-03-01,Andaman & Nicobar Islands,South Andaman,2,0,0,2,3.0,-1.0,-0.3333333333333333,0.6744907594765952,0.36870819518905007,False
2025-04-01,Andaman & Nicobar Islands,South Andaman,2,0,0,2,2.0,0.0,0.0,0.6744907594765952,0.08508650658208848,False
2025-05-01,Andaman & Nicobar Islands,South Andaman,2,0,0,2,2.0,0.0,0.0,0.6744907594765952,0.08508650658208848,False
2025-08-01,Andaman & Nicobar Islands,South Andaman,1,0,0,1,2.0,-1.0,-0.5,0.6744907594765952,0.3221016517805596,False
2025-11-01,Andaman & Nicobar Islands,South Andaman,3,0,0,3,1.0,2.0,2.0,3.3724537973829762,10.10907054897888,True
2025-12-01,Andaman & Nicobar Islands,South Andaman,1,0,0,1,3.0,-2.0,-0.6666666666666666,2.023472278429786,1.128440430806287,False
